sciNameValid,sciNameValidAmended
Acartia (Acanthacartia) bifilosa,Acartia bifilosa
Acartia (Acartiura) clausii,Acartia clausii
Aricidea (Acmira) cerrutii,Aricidea cerrutii
Aricidea (Aricidea) minuta,Aricidea minuta
Aricidea (Aricidea) wassi,Aricidea wassi
Aricidea (Strelzovia) suecica,Aricidea suecica
Guernea (Guernea) coalita,Guernea coalita
Halichondria (Halichondria) panicea,Halichondria panicea
Jaera (Jaera) albifrons,Jaera albifrons
Lepas (Lepas) anatifera,Lepas anatifera
Oikopleura (Vexillaria) dioica,Oikopleura dioica
Paramysis (Longidentia) nouveli,Paramysis nouveli
Pseudocuma (Pseudocuma) longicorne,Pseudocuma longicorne
Pseudocuma (Pseudocuma) simile,Pseudocuma simile
Scolelepis (Scolelepis) foliosa,Scolelepis foliosa
Scolelepis (Scolelepis) squamata,Scolelepis squamata
Tomopteris (Johnstonella) helgolandica,Tomopteris helgolandica
Acartia bifilosa,Acartia (Acanthacartia) bifilosa
Acartia clausii,Acartia (Acartiura) clausii
Aricidea minuta,Aricidea (Aricidea) minuta
Aricidea wassi,Aricidea (Aricidea) wassi
Halichondria panicea,Halichondria (Halichondria) panicea
Jaera albifrons,Jaera (Jaera) albifrons
Lepas anatifera,Lepas (Lepas) anatifera
Oikopleura dioica,Oikopleura (Vexillaria) dioica
Paramysis nouveli,Paramysis (Longidentia) nouveli
Scolelepis foliosa,Scolelepis (Scolelepis) foliosa
Scolelepis squamata,Scolelepis (Scolelepis) squamata
Tomopteris helgolandica,Tomopteris (Johnstonella) helgolandica
